company_slug,name,role,background,origin,prior
flair,Antonio Cao,Co-Founder & President,"Yale University graduate with degrees in Physics, Mathematics, and Computer Science. Previously worked with AI teams at companies including Tesla and Adobe.",Chinese-American,
flank-ai,Lilian Breidenbach,Co-Founder,Previously co-founded Legal OS. Enterprise legal tech experience.,German (inferred),
flank-ai,Charlotte Kufus,Co-Founder,Left PhD research at LSE to co-found Flank.,German (inferred),
flank-ai,Jacob Jones,Co-Founder,8+ years in AI. Leads product and commercial strategy.,British (inferred),
flapping-airplanes,Ben Spector,Co-founder,"Founder of Prod, a Silicon Valley talent incubator that shaped companies like Cursor, Mercor, Etched, and Decart. Age 25 at founding. Brother of Asher Spector.",American,
flapping-airplanes,Asher Spector,Co-founder,Former debate champion turned Stanford Statistics PhD student. Age 26 at founding. One year older than brother Ben.,American,
flapping-airplanes,Aidan Smith,Co-founder,Former founder and Thiel Fellow. Worked at Neuralink for 3 years while in college at Georgia Tech.,American,
flex-ai,Brijesh Tripathi,Co-founder & CEO,"Veteran chip and systems architect. Senior design engineer at NVIDIA (early career). Senior engineering roles at Apple. Senior engineering at Tesla (reported to Elon Musk). Engineering leadership at Zoox. GM & Chief Architect for AI and Supercompute Platforms at Intel, previously VP & CTO of Client Computing Group.",Indian,
flex-ai,Dali Kilani,Co-founder & CTO,"Technical roles at NVIDIA. Engineering at Zynga. Consulting at Boston Consulting Group. CTO at Lifen (French healthtech startup, digital infrastructure for healthcare). Brings software and platform-building lens complementing Tripathi's hardware expertise.",Tunisian-French,
flexion,Nikita Rudin,Co-Founder & CEO,PhD from ETH Zurich (deep reinforcement learning for robotics). Former research scientist at NVIDIA (Isaac Gym).,Russian-Swiss,
flexion,David Hoeller,Co-Founder & CTO,"PhD in reinforcement learning. Managed research at NVIDIA (Isaac Gym, Isaac Lab). 10+ years in robot learning.",Swiss,
flexion,Julian Nubert,Co-Founder,"PhD from ETH Zurich. Research stays at Meta Reality Labs, NASA JPL, AWS, Max Planck Institute.",German,
flexion,Fabian Tischhauser,Co-Founder,Robotics hardware background. Leads hardware team at Flexion.,Swiss,
flexion,Marco Hutter,Co-Founder,Professor of Robotic Systems at ETH Zurich. Director of RAI Institute Zurich.,Swiss,
floot,Yujian Yao,Co-Founder,YC S25 batch.,Chinese,
floot,Edward Look,Co-Founder,YC S25 batch.,,
flywheel,Troy Kopischke,Co-Founder & Board Chair,"Serial tech entrepreneur. Co-CEO, co-founder, and managing partner of Invenshure (venture catalyst for tech/biotech companies built on novel IP from top scientists). Former President and CFO at Steady State Imaging (commercialization strategy led to sale to GE Healthcare 2011).",American,
flywheel,Brian Wandell,Co-Founder & Scientific Advisor,"Director of the Center for Cognitive and Neurobiological Imaging at Stanford University. Developed MRI image capture, organization, and curation system that became Flywheel. Partnered with Invenshure in 2015 to commercialize.",American,
flywheel,Gunnar Schaefer,Co-Founder & CTO,Stanford researcher who partnered with Wandell to develop the medical imaging data management system. Technical architect of Flywheel's platform for organizing and sharing neuroimaging data.,American,
forethought,Deon Nicholas,Co-Founder & Executive Chairman,"Bachelor of Mathematics from University of Waterloo. Built products at Facebook, Palantir, Dropbox, and Pure Storage. Forbes 30 Under 30. Holds patents in ML. Angel investor in Cognition (Devin) and Anthropic.",Canadian (grew up in inner-city Toronto),
forethought,Sami Ghoche,Co-Founder & CEO,Harvard University (undergrad and graduate studies in Computer Science). Previously on LinkedIn's AI/ML team enhancing newsfeed relevance. Forbes 30 Under 30. Co-founded Forethought at age 24 with Nicholas.,Lebanese-American,
formation-bio,Benjamine Liu,CEO,Rhodes Scholar; PhD at Oxford in computational biology; Yale graduate (highest honors); MPhil from Cambridge; former Agouron Pharmaceuticals,Chinese-American,
formation-bio,Linhao Zhang,CTO,Technical co-founder leading AI-driven drug development platform,Chinese,
forsight-robotics,Prof. Moshe Shoham,Co-founder,"Professor at the Technion - Israel Institute of Technology. Pioneer in medical robotics, previously co-founded Mazor Robotics (acquired by Medtronic for $1.64B in 2018). One of the most accomplished surgical robotics entrepreneurs globally.",Israeli,
forsight-robotics,Dr. Daniel Glozman,Co-founder & CEO,Medical robotics expert with deep experience in surgical systems development. Leads ForSight's commercialization and clinical trial strategy.,Israeli,
forsight-robotics,Dr. Joseph Nathan,Co-founder,,Israeli,
forterra,Alberto Lacaze,Co-Founder,Long career in autonomous systems and robotics for defense.,American,
forterra,Karl Murphy,Co-Founder,Defense robotics and autonomy expert.,American,
fourier-intelligence,Alex Gu (Gu Jie),Founder & CEO,Graduated from Shanghai Jiao Tong University. Previously a sales executive at National Instruments. Founded Fourier in 2015 with a focus on rehabilitation robotics before pivoting to general-purpose humanoid robots. Has led the company through nine funding rounds.,Chinese,
fractal,Srikanth Velamakanni,"Co-Founder, Group Chief Executive & Executive Vice-Chairman","Engineering and finance background. Former structured products group at ICICI Bank, where he co-pioneered India's first collateralized bond obligation (CBO) in 1999.",Indian,
fractal,Pranay Agrawal,Co-Founder & CEO,"Education from Indian Institute of Management, Ahmedabad (IIM-A). Appointed CEO in 2016.",Indian,
freenome,Gabriel Otte,Co-Founder (former CEO),Co-founded Freenome in 2014; replaced as CEO by Mike Nolan in 2021,American,
freenome,Charlie Roberts,Co-Founder,Co-founded Freenome in 2014,American,
freenome,Riley Ennis,Co-Founder,Co-founded Freenome in 2014,American,
freya-voice-ai,Tomas Nepala,Co-Founder,YC S25 batch.,European (inferred from name),
freya-voice-ai,Ahmet Tunga Bayrak,Co-Founder,YC S25 batch.,Turkish (inferred from name),
fundamental-ai,Jeremy Fraenkel,CEO & Co-Founder,Former DeepMind researcher. Details on specific DeepMind projects limited in public sources.,American (limited public information),
fundamental-ai,Gabriel Suissa,Co-Founder,Former DeepMind researcher. Technical co-founder.,Israeli,
fundamental-ai,Annie Lamont,Co-Founder,Co-founder. Additional background details limited in public sources.,Limited public information,
furiosa-ai,June Paik,Founder & CEO,20+ years in semiconductor design. Former engineer at Samsung Electronics and AMD. MS in Electrical Engineering from Georgia Institute of Technology.,Korean,
furtherai,Aman Gour,CEO & Co-Founder,"Second-time founder with ~10 years in workflow automation. CS degree from IIT Bombay. Former Product Manager at Microsoft. Co-founded TurboHire (recruitment automation, scaled to $1M+ ARR). South Park Commons member.",Indian,
furtherai,Sashank Gondala,CTO & Co-Founder,"CS degree from IIT Bombay, MS in CS (Machine Learning) from Georgia Tech. Former language modeling scientist at Apple (built and scaled language models for Siri). Previously at Oracle. Published multimodal AI research.",Indian,
fyxer-ai,Richard Hollingsworth,Co-Founder & CEO,Based in London. Leading Fyxer's growth as an AI executive assistant platform.,British,
fyxer-ai,Archie Hollingsworth,Co-Founder,Co-founded Fyxer alongside Richard.,British,
fyxer-ai,Matthew Ffrench,Co-Founder,Co-founded Fyxer with the Hollingsworth brothers.,British,
g42,Peng Xiao,CEO,Leads G42's AI and cloud operations. Reports to Sheikh Tahnoon bin Zayed Al Nahyan.,,
galaxea-ai,Huazhe Xu,CEO,"PhD UC Berkeley, postdoc Stanford, now Tsinghua professor.",,
galaxea-ai,Jiyang Gao,Co-founder,"Ex-Waymo, ex-Momenta.",,
galbot,He Wang,CEO,Professor at Peking University; researcher in robotics and embodied AI,Chinese,
galileo-ai,Vikram Chatterji,Co-Founder & CEO,"Google AI (Product Management, BERT/Transformers), Google Pay India, Android MS Computer Science, Carnegie Mellon University",Indian-American,
galileo-ai,Atindriyo Sanyal,Co-Founder & CTO,"Uber AI (Engineering Lead, Michelangelo feature store), Apple (early Siri engineer) MS Computer Science, UCLA; BE Computer Science, Pune Institute of Computer Technology",Indian-American,
galileo-ai,Yash Sheth,Co-Founder & COO,"Google (Tech Lead & Manager, Speech Recognizer platform, 9 years; scaled speech recognition 800x across 20+ products) MS Computer Science, UC Irvine",Indian-American,
gameramp,Vivek Ramachandran,Co-Founder & CEO,Led AI and consumer tech investments at Z47 (global multi-stage VC). Previously drove live-ops monetization at Electronic Arts and Big Viking Games.,Indian,
gameramp,Sashank Vandrangi,Co-Founder,Led product and data teams at Mobile Premier League (MPL) across multiple regions.,Indian,
gamma-technologies,Grant Lee,Co-Founder & CEO,BS/MS in Mechanical & Biomechanical Engineering from Stanford. Former CFO at Optimizely (first finance hire). COO at ClearBrain (acquired by Amplitude). Prior experience in investment banking and consulting.,American,
gamma-technologies,James Fox,Co-Founder,Staff engineer at Optimizely. Technical co-founder with deep full-stack engineering experience.,American,
gamma-technologies,Jon Noronha,Co-Founder,VP of Product at Optimizely before co-founding Gamma.,American,
gather-ai,Sankalp Arora,Co-founder & CEO,"PhD from Carnegie Mellon University's Robotics Institute. Co-built one of the first autonomous helicopters, tested at FBI training grounds in Quantico. Led Gather AI from CMU spinout to commercial warehouse drone platform.",Indian-American,
gather-ai,Daniel Maturana,Co-founder & CTO,PhD from Carnegie Mellon University's Robotics Institute. Expert in computer vision and 3D perception for autonomous systems.,Chilean-American,
gather-ai,Geetesh Dubey,Co-founder,PhD student at Carnegie Mellon University. Co-developed the autonomous helicopter technology that preceded Gather AI.,Indian,
gc-ai,Cecilia Ziniti,Co-Founder & CEO,Three-time General Counsel and 15+ year in-house lawyer at companies including Amazon and Replit. Named to Inc. Female Founders 500.,American,
gc-ai,Bardia Pourvakil,Co-Founder & CTO,AI engineer. Technical co-founder.,Iranian-American (inferred),
general-intuition,Pim de Witte,CEO,CEO of Medal (largest gameplay-sharing platform),Dutch,
general-legal,Unknown,Co-Founder & CEO,Legal and AI background.,,
generalist-ai,Andy Zeng,Co-Founder,Former Research Scientist and Tech Lead at Google DeepMind. Co-author of PaLM-E and RT-2. Worked on large-scale foundation models and robots that write their own code. Invented handheld data collection for robots.,American,
generalist-ai,Pete Florence,Co-Founder,Former Senior Research Scientist at Google DeepMind. Led research and development of visual/embodied intelligence models including PaLM-E and RT-2. PhD from MIT CSAIL.,American,
generalist-ai,Andrew Barry,Co-Founder & CTO,"PhD in EECS from MIT (CSAIL, autonomous drones). BS from Olin College. Senior Roboticist at Boston Dynamics (5 years, worked on Spot robot arm). ML Scientist at Broad Institute of MIT and Harvard. Pete Florence's PhD classmate at MIT.",American,
genesis-ai-robotics,Zhou Xian,CEO,"PhD robotics CMU, creator of Genesis physics simulation engine",Chinese,
genesis-ai-robotics,Theophile Gervet,Co-founder,Former research scientist at Mistral AI,French,
genesis-therapeutics,Evan Feinberg,CEO,PhD in computational biophysics from Stanford (Vijay Pande lab); developed PotentialNet; BA in Applied Physics from Yale,American,
genie-ai,Rafie Faruq,Co-Founder & CEO,Studied at UCL. Taught by leading researchers at Google DeepMind.,British-South Asian,
genie-ai,Nitish Mutha,Co-Founder & CTO,AI specialist at UCL. Taught by leading researchers at Google DeepMind.,Indian,
genspark,Eric Jing,Co-Founder & CEO,"Microsoft veteran (joined 2006), founding member of Microsoft Bing. Built previous company to $5.5B valuation.",Chinese,
genspark,Kay Zhu,Co-Founder & CTO,Pioneered AI-powered search ranking at Google (2011). Launched world's first deep neural network ranking model in production search (2013). Worked with Eric Jing for 11 years.,Chinese,
genspark,Wen Sang,Co-Founder & COO,PhD from MIT. Founded and exited Smarking (YC and Khosla-backed enterprise SaaS).,Chinese,
getasap-asia,Raghav Arora,Founder,Founded at age 14. YC S25 batch. Among highest valuations in the batch.,Indian,
ghosteye,Unknown,Co-Founder,YC S25 batch.,,
gigaml,Varun Vummadi,Co-Founder & CEO,Y Combinator alumni. Leading GigaML's enterprise AI operations platform.,Indian,
gigaml,Esha Manideep,Co-Founder,Y Combinator alumni. Technical co-founder.,Indian,
glean,Arvind Jain,CEO,"BTech CS from IIT Delhi. MS CS, University of Washington. 10+ years at Google. Co-founded Rubrik (public company).",Indian,
glean,T.R. Vishwanath,Co-founder,"Principal Software Engineer at Facebook (2010-2019, News Feed ranking).",Indian,
glean,Piyush Prahladka,Co-founder,"12 years at Google (Maps, Search Quality Ranking lead).",Indian,
glean,Tony Gentilcore,Co-founder,"10 years at Google (web search interface, Chrome Speed Team).",Italian-American,
golpo-ai,Unknown,Co-Founder,YC S25 batch.,,
gong,Amit Bendov,Co-Founder & CEO,"20+ years leading hyper-growth enterprise software startups. Former CEO of SiSense, CMO of Panaya, SVP Sales & Marketing at ClickSoftware. BSc in Computer Science from Tel Aviv University.",Israeli,
gong,Eilon Reshef,Co-Founder & CPO,Serial entrepreneur and investor. Co-founded and sold Webcollage (e-commerce startup). Previously CTO at Gong before transitioning to CPO. Self-taught deep learning before GPT era.,Israeli,
goodfire,Eric Ho,Co-Founder & CEO,"Yale graduate. Previously co-founded RippleMatch (2016). Frustrated with hiring systems, pivoted to AI interpretability.",Asian-American,
goodfire,Dan Balsam,Co-Founder & CTO,Previously founding engineer at RippleMatch.,American,
