company_slug,company_name,founder_name,role,background,origin,status
fauna-robotics,Fauna Robotics,Rob Cochran,Co-Founder & CEO,Former CTRL-labs (acquired by Facebook/Meta in 2019). Wearable neurotech experience.,American,
fauna-robotics,Fauna Robotics,Josh Merel,Co-Founder & CTO,Former DeepMind research scientist. Neuroscience and robotics research.,American,
fenrock,Fenrock,Unknown,Co-Founder & CEO,Financial compliance and AI background.,,
field-ai,Field Ai,Ali Agha,Founder & CEO,"Spent nearly a decade at NASA's Jet Propulsion Laboratory (JPL) specializing in robotics autonomy and physical AI. Led teams that competed in the DARPA Subterranean Challenge. Built FieldAI's core technology around enabling robots to operate autonomously without GPS, maps, or pre-programmed routes.",Iranian-American,
fieldguide,Fieldguide,Jin Chang,Co-Founder & CEO,Former EY practitioner. Previously at legal AI startup Atrium.,Korean-American,
fieldguide,Fieldguide,Chris Szymansky,Co-Founder & CTO,Previously at legal AI startup Atrium where he met Jin Chang.,American,
figure-ai,Figure Ai,Brett Adcock,Founder & CEO,"American, raised on a family farm near Moweaqua, Illinois. BS from University of Florida (2008). Serial entrepreneur: founded Vettery (hiring marketplace, acquired by Adecco Group ~2018), co-founded Archer Aviation (eVTOL, NYSE: ACHR, IPO 2021). Named to TIME100 AI list (2024). Also founded Cover (AI school-security startup, 2023) and Hark (independent AI lab, self-funded $100M, late 2025). Remains CEO of both Figure and Hark.","American (white, rural Illinois)",
filed,Filed,Leroy Kerry,Co-Founder & CEO,Previous startup experience from Swedish fintech Juni.,British,
filed,Filed,Atul Ramachandran,Co-Founder & CTO,Former engineering leader at PayPal.,Indian,
final-round-ai,Final Round Ai,Michael Guan,Co-Founder & CEO,Yale University. Former CTO at CYNK; previously in product marketing at Starburst Data (supported $250M Series D).,Chinese-American,
final-round-ai,Final Round Ai,Jay Ma,Co-Founder & CTO,"University of Illinois at Urbana-Champaign. Former ML engineer at Pinterest, Meta, and AMD. Reverse-engineered LinkedIn while in college.",Chinese-American,
finster-ai,Finster Ai,Sid Jayakumar,Founder,7 years AI research at Google DeepMind,Indian-British,
finto,Finto,Jonas Morgner,Co-Founder,YC S25 batch.,German (inferred from name),
finto,Finto,Linus Boehm,Co-Founder,YC S25 batch.,German (inferred from name),
finto,Finto,Lorenz Neuner,Co-Founder,YC S25 batch.,German (inferred from name),
firecrawl,Firecrawl,Caleb Peffer,Co-Founder & CEO,"Serial builder with 10+ years in software engineering. Previously built Mendable (chat-with-docs, customers included Snapchat, Coinbase, MongoDB) and co-founded SideGuide (learn-to-code in VS Code, 50K users). YC alum (S22).",American,
firecrawl,Firecrawl,Eric Ciarla,Co-Founder & CMO,Studied Economics and Philosophy at University of New Hampshire. Former Data Scientist at Ford and Fracta. Co-founded Mendable and SideGuide with Peffer and Camara before Firecrawl.,American,
firecrawl,Firecrawl,Nicolas Silberstein Camara,Co-Founder & CTO,"Studied at University of New Hampshire. Previously built Mendable (AI docs search), SideGuide, FlutterBricks, and HallHub. Creator of FlutterGuide community (50K developers). Firecrawl was originally an internal tool at Mendable.",American,
fireflies-ai,Fireflies Ai,Krish Ramineni,Co-Founder & CEO,"Former product manager at Microsoft. UPenn grad (summa cum laude, HCI). Forbes 30 Under 30 (2021).",Indian-American,
fireflies-ai,Fireflies Ai,Sam Udotong,Co-Founder & CTO,,Nigerian,
fireworks-ai,Fireworks Ai,Lin Qiao,CEO,"PhD CS, UC Santa Barbara. Former Head of PyTorch at Meta.",Chinese-American,
fireworks-ai,Fireworks Ai,Benny Chen,Co-founder,Former Meta Ads Infrastructure Lead.,Chinese-American,
fireworks-ai,Fireworks Ai,Dmytro Dzhulgakov,Co-founder,PyTorch core maintainer at Meta.,Ukrainian,
fish-audio,Fish Audio,Shijia Liao (Leng Yue),CEO,Former NVIDIA researcher. Gen Z. 7+ years in speech synthesis. Creator of GPT-SoVITS.,,
flair,Flair,Mickey Friedman,Co-Founder & CEO,University of Chicago graduate. Co-launched Flair.ai in 2022. Previously worked with AI teams and organizes SF AI Tinkerers events.,American,
flair,Flair,Antonio Cao,Co-Founder & President,"Yale University graduate with degrees in Physics, Mathematics, and Computer Science. Previously worked with AI teams at companies including Tesla and Adobe.",Chinese-American,
flank-ai,Flank Ai,Lilian Breidenbach,Co-Founder,Previously co-founded Legal OS. Enterprise legal tech experience.,German (inferred),
flank-ai,Flank Ai,Charlotte Kufus,Co-Founder,Left PhD research at LSE to co-found Flank.,German (inferred),
flank-ai,Flank Ai,Jacob Jones,Co-Founder,8+ years in AI. Leads product and commercial strategy.,British (inferred),
flapping-airplanes,Flapping Airplanes,Ben Spector,Co-founder,"Founder of Prod, a Silicon Valley talent incubator that shaped companies like Cursor, Mercor, Etched, and Decart. Age 25 at founding. Brother of Asher Spector.",American,
flapping-airplanes,Flapping Airplanes,Asher Spector,Co-founder,Former debate champion turned Stanford Statistics PhD student. Age 26 at founding. One year older than brother Ben.,American,
flapping-airplanes,Flapping Airplanes,Aidan Smith,Co-founder,Former founder and Thiel Fellow. Worked at Neuralink for 3 years while in college at Georgia Tech.,American,
flex-ai,Flex Ai,Brijesh Tripathi,Co-founder & CEO,"Veteran chip and systems architect. Senior design engineer at NVIDIA (early career). Senior engineering roles at Apple. Senior engineering at Tesla (reported to Elon Musk). Engineering leadership at Zoox. GM & Chief Architect for AI and Supercompute Platforms at Intel, previously VP & CTO of Client Computing Group.",Indian,
flex-ai,Flex Ai,Dali Kilani,Co-founder & CTO,"Technical roles at NVIDIA. Engineering at Zynga. Consulting at Boston Consulting Group. CTO at Lifen (French healthtech startup, digital infrastructure for healthcare). Brings software and platform-building lens complementing Tripathi's hardware expertise.",Tunisian-French,
flexion,Flexion,Nikita Rudin,Co-Founder & CEO,PhD from ETH Zurich (deep reinforcement learning for robotics). Former research scientist at NVIDIA (Isaac Gym).,Russian-Swiss,
flexion,Flexion,David Hoeller,Co-Founder & CTO,"PhD in reinforcement learning. Managed research at NVIDIA (Isaac Gym, Isaac Lab). 10+ years in robot learning.",Swiss,
flexion,Flexion,Julian Nubert,Co-Founder,"PhD from ETH Zurich. Research stays at Meta Reality Labs, NASA JPL, AWS, Max Planck Institute.",German,
flexion,Flexion,Fabian Tischhauser,Co-Founder,Robotics hardware background. Leads hardware team at Flexion.,Swiss,
flexion,Flexion,Marco Hutter,Co-Founder,Professor of Robotic Systems at ETH Zurich. Director of RAI Institute Zurich.,Swiss,
floot,Floot,Yujian Yao,Co-Founder,YC S25 batch.,Chinese,
floot,Floot,Edward Look,Co-Founder,YC S25 batch.,,
flowith,Flowith,Yichen Wu,Co-founder,Chinese-born. UNC Chapel Hill.,Chinese,
flowith,Flowith,Derek Nee,CEO,Chinese-born. Co-founded Flowith.,Chinese,
flywheel,Flywheel,Troy Kopischke,Co-Founder & Board Chair,"Serial tech entrepreneur. Co-CEO, co-founder, and managing partner of Invenshure (venture catalyst for tech/biotech companies built on novel IP from top scientists). Former President and CFO at Steady State Imaging (commercialization strategy led to sale to GE Healthcare 2011).",American,
flywheel,Flywheel,Brian Wandell,Co-Founder & Scientific Advisor,"Director of the Center for Cognitive and Neurobiological Imaging at Stanford University. Developed MRI image capture, organization, and curation system that became Flywheel. Partnered with Invenshure in 2015 to commercialize.",American,
flywheel,Flywheel,Gunnar Schaefer,Co-Founder & CTO,Stanford researcher who partnered with Wandell to develop the medical imaging data management system. Technical architect of Flywheel's platform for organizing and sharing neuroimaging data.,American,
forethought,Forethought,Deon Nicholas,Co-Founder & Executive Chairman,"Bachelor of Mathematics from University of Waterloo. Built products at Facebook, Palantir, Dropbox, and Pure Storage. Forbes 30 Under 30. Holds patents in ML. Angel investor in Cognition (Devin) and Anthropic.",Canadian (grew up in inner-city Toronto),
forethought,Forethought,Sami Ghoche,Co-Founder & CEO,Harvard University (undergrad and graduate studies in Computer Science). Previously on LinkedIn's AI/ML team enhancing newsfeed relevance. Forbes 30 Under 30. Co-founded Forethought at age 24 with Nicholas.,Lebanese-American,
formation-bio,Formation Bio,Benjamine Liu,CEO,Rhodes Scholar; PhD at Oxford in computational biology; Yale graduate (highest honors); MPhil from Cambridge; former Agouron Pharmaceuticals,Chinese-American,
formation-bio,Formation Bio,Linhao Zhang,CTO,Technical co-founder leading AI-driven drug development platform,Chinese,
forsight-robotics,Forsight Robotics,Prof. Moshe Shoham,Co-founder,"Professor at the Technion - Israel Institute of Technology. Pioneer in medical robotics, previously co-founded Mazor Robotics (acquired by Medtronic for $1.64B in 2018). One of the most accomplished surgical robotics entrepreneurs globally.",Israeli,
forsight-robotics,Forsight Robotics,Dr. Daniel Glozman,Co-founder & CEO,Medical robotics expert with deep experience in surgical systems development. Leads ForSight's commercialization and clinical trial strategy.,Israeli,
forsight-robotics,Forsight Robotics,Dr. Joseph Nathan,Co-founder,,Israeli,
forterra,Forterra,Alberto Lacaze,Co-Founder,Long career in autonomous systems and robotics for defense.,American,
forterra,Forterra,Karl Murphy,Co-Founder,Defense robotics and autonomy expert.,American,
fourier-intelligence,Fourier Intelligence,Alex Gu (Gu Jie),Founder & CEO,Graduated from Shanghai Jiao Tong University. Previously a sales executive at National Instruments. Founded Fourier in 2015 with a focus on rehabilitation robotics before pivoting to general-purpose humanoid robots. Has led the company through nine funding rounds.,Chinese,
fractal,Fractal,Srikanth Velamakanni,"Co-Founder, Group Chief Executive & Executive Vice-Chairman","Engineering and finance background. Former structured products group at ICICI Bank, where he co-pioneered India's first collateralized bond obligation (CBO) in 1999.",Indian,
fractal,Fractal,Pranay Agrawal,Co-Founder & CEO,"Education from Indian Institute of Management, Ahmedabad (IIM-A). Appointed CEO in 2016.",Indian,
freenome,Freenome,Gabriel Otte,Co-Founder (former CEO),Co-founded Freenome in 2014; replaced as CEO by Mike Nolan in 2021,American,
freenome,Freenome,Charlie Roberts,Co-Founder,Co-founded Freenome in 2014,American,
freenome,Freenome,Riley Ennis,Co-Founder,Co-founded Freenome in 2014,American,
freya-voice-ai,Freya Voice Ai,Tomas Nepala,Co-Founder,YC S25 batch.,European (inferred from name),
freya-voice-ai,Freya Voice Ai,Ahmet Tunga Bayrak,Co-Founder,YC S25 batch.,Turkish (inferred from name),
fundamental-ai,Fundamental Ai,Jeremy Fraenkel,CEO & Co-Founder,Former DeepMind researcher. Details on specific DeepMind projects limited in public sources.,American (limited public information),
fundamental-ai,Fundamental Ai,Gabriel Suissa,Co-Founder,Former DeepMind researcher. Technical co-founder.,Israeli,
fundamental-ai,Fundamental Ai,Annie Lamont,Co-Founder,Co-founder. Additional background details limited in public sources.,Limited public information,
furiosa-ai,Furiosa Ai,June Paik,Founder & CEO,20+ years in semiconductor design. Former engineer at Samsung Electronics and AMD. MS in Electrical Engineering from Georgia Institute of Technology.,Korean,
furtherai,Furtherai,Aman Gour,CEO & Co-Founder,"Second-time founder with ~10 years in workflow automation. CS degree from IIT Bombay. Former Product Manager at Microsoft. Co-founded TurboHire (recruitment automation, scaled to $1M+ ARR). South Park Commons member.",Indian,
furtherai,Furtherai,Sashank Gondala,CTO & Co-Founder,"CS degree from IIT Bombay, MS in CS (Machine Learning) from Georgia Tech. Former language modeling scientist at Apple (built and scaled language models for Siri). Previously at Oracle. Published multimodal AI research.",Indian,
fyxer-ai,Fyxer Ai,Richard Hollingsworth,Co-Founder & CEO,Based in London. Leading Fyxer's growth as an AI executive assistant platform.,British,
fyxer-ai,Fyxer Ai,Archie Hollingsworth,Co-Founder,Co-founded Fyxer alongside Richard.,British,
fyxer-ai,Fyxer Ai,Matthew Ffrench,Co-Founder,Co-founded Fyxer with the Hollingsworth brothers.,British,
g42,G42,Peng Xiao,CEO,Leads G42's AI and cloud operations. Reports to Sheikh Tahnoon bin Zayed Al Nahyan.,,
galaxea-ai,Galaxea Ai,Huazhe Xu,CEO,"PhD UC Berkeley, postdoc Stanford, now Tsinghua professor.",Chinese,
galaxea-ai,Galaxea Ai,Jiyang Gao,Co-founder,"Ex-Waymo, ex-Momenta.",Chinese,
galbot,Galbot,He Wang,CEO,Professor at Peking University; researcher in robotics and embodied AI,Chinese,
galileo-ai,Galileo Ai,Vikram Chatterji,Co-Founder & CEO,"Google AI (Product Management, BERT/Transformers), Google Pay India, Android MS Computer Science, Carnegie Mellon University",Indian-American,
galileo-ai,Galileo Ai,Atindriyo Sanyal,Co-Founder & CTO,"Uber AI (Engineering Lead, Michelangelo feature store), Apple (early Siri engineer) MS Computer Science, UCLA; BE Computer Science, Pune Institute of Computer Technology",Indian-American,
galileo-ai,Galileo Ai,Yash Sheth,Co-Founder & COO,"Google (Tech Lead & Manager, Speech Recognizer platform, 9 years; scaled speech recognition 800x across 20+ products) MS Computer Science, UC Irvine",Indian-American,
gameramp,Gameramp,Vivek Ramachandran,Co-Founder & CEO,Led AI and consumer tech investments at Z47 (global multi-stage VC). Previously drove live-ops monetization at Electronic Arts and Big Viking Games.,Indian,
gameramp,Gameramp,Sashank Vandrangi,Co-Founder,Led product and data teams at Mobile Premier League (MPL) across multiple regions.,Indian,
gamma-technologies,Gamma Technologies,Grant Lee,Co-Founder & CEO,BS/MS in Mechanical & Biomechanical Engineering from Stanford. Former CFO at Optimizely (first finance hire). COO at ClearBrain (acquired by Amplitude). Prior experience in investment banking and consulting.,American,
gamma-technologies,Gamma Technologies,James Fox,Co-Founder,Staff engineer at Optimizely. Technical co-founder with deep full-stack engineering experience.,American,
gamma-technologies,Gamma Technologies,Jon Noronha,Co-Founder,VP of Product at Optimizely before co-founding Gamma.,American,
gather-ai,Gather Ai,Sankalp Arora,Co-founder & CEO,"PhD from Carnegie Mellon University's Robotics Institute. Co-built one of the first autonomous helicopters, tested at FBI training grounds in Quantico. Led Gather AI from CMU spinout to commercial warehouse drone platform.",Indian-American,
